"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2584","Create course","LMS system","Mon Jun 01 13:47:59 UTC 2026","passed","Mon Jun 01 13:48:01 UTC 2026","Courses","Courses","",""
"","2231","User login with wrong email or password","LMS system","Mon Jun 01 13:47:48 UTC 2026","passed","Mon Jun 01 13:47:51 UTC 2026","Authorization","Authentication","",""
"","1570","Check displaying of dashboard page","LMS system","Mon Jun 01 13:48:03 UTC 2026","passed","Mon Jun 01 13:48:05 UTC 2026","Dashboard","Dashboard","",""
"","3816","User login with correct email and password","LMS system","Mon Jun 01 13:47:51 UTC 2026","passed","Mon Jun 01 13:47:55 UTC 2026","Authorization","Authentication","",""
"","1933","Registration with correct email, username and password","LMS system","Mon Jun 01 13:47:56 UTC 2026","passed","Mon Jun 01 13:47:58 UTC 2026","Registration","Authentication","",""
"","1446","User login with wrong email or password","LMS system","Mon Jun 01 13:47:51 UTC 2026","passed","Mon Jun 01 13:47:52 UTC 2026","Authorization","Authentication","",""
"","1828","Check displaying of empty courses list","LMS system","Mon Jun 01 13:47:57 UTC 2026","passed","Mon Jun 01 13:47:59 UTC 2026","Courses","Courses","",""
"","2224","User login with wrong email or password","LMS system","Mon Jun 01 13:47:48 UTC 2026","passed","Mon Jun 01 13:47:51 UTC 2026","Authorization","Authentication","",""
"","3092","Edit course","LMS system","Mon Jun 01 13:47:59 UTC 2026","passed","Mon Jun 01 13:48:03 UTC 2026","Courses","Courses","",""
"","1972","Navigation from login page to registration page","LMS system","Mon Jun 01 13:47:53 UTC 2026","passed","Mon Jun 01 13:47:55 UTC 2026","Authorization","Authentication","",""
