"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2824","Create course","LMS system","Wed Apr 29 13:32:07 UTC 2026","passed","Wed Apr 29 13:32:10 UTC 2026","Courses","Courses","",""
"","1971","User login with wrong email or password","LMS system","Wed Apr 29 13:31:58 UTC 2026","passed","Wed Apr 29 13:32:00 UTC 2026","Authorization","Authentication","",""
"","3044","User login with correct email and password","LMS system","Wed Apr 29 13:32:00 UTC 2026","passed","Wed Apr 29 13:32:03 UTC 2026","Authorization","Authentication","",""
"","1786","Registration with correct email, username and password","LMS system","Wed Apr 29 13:32:04 UTC 2026","passed","Wed Apr 29 13:32:05 UTC 2026","Registration","Authentication","",""
"","3776","Edit course","LMS system","Wed Apr 29 13:32:08 UTC 2026","passed","Wed Apr 29 13:32:11 UTC 2026","Courses","Courses","",""
"","2112","Check displaying of dashboard page","LMS system","Wed Apr 29 13:32:11 UTC 2026","passed","Wed Apr 29 13:32:13 UTC 2026","Dashboard","Dashboard","",""
"","1616","User login with wrong email or password","LMS system","Wed Apr 29 13:32:00 UTC 2026","passed","Wed Apr 29 13:32:02 UTC 2026","Authorization","Authentication","",""
"","1606","Check displaying of empty courses list","LMS system","Wed Apr 29 13:32:06 UTC 2026","passed","Wed Apr 29 13:32:07 UTC 2026","Courses","Courses","",""
"","1634","Navigation from login page to registration page","LMS system","Wed Apr 29 13:32:02 UTC 2026","passed","Wed Apr 29 13:32:04 UTC 2026","Authorization","Authentication","",""
"","1961","User login with wrong email or password","LMS system","Wed Apr 29 13:31:58 UTC 2026","passed","Wed Apr 29 13:32:00 UTC 2026","Authorization","Authentication","",""
