"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2005","Check displaying of dashboard page","LMS system","Sun May 03 20:56:19 UTC 2026","passed","Sun May 03 20:56:21 UTC 2026","Dashboard","Dashboard","",""
"","2347","Create course","LMS system","Sun May 03 20:56:16 UTC 2026","passed","Sun May 03 20:56:19 UTC 2026","Courses","Courses","",""
"","1969","Registration with correct email, username and password","LMS system","Sun May 03 20:56:12 UTC 2026","passed","Sun May 03 20:56:14 UTC 2026","Registration","Authentication","",""
"","3315","Edit course","LMS system","Sun May 03 20:56:17 UTC 2026","passed","Sun May 03 20:56:21 UTC 2026","Courses","Courses","",""
"","3129","User login with correct email and password","LMS system","Sun May 03 20:56:10 UTC 2026","passed","Sun May 03 20:56:13 UTC 2026","Authorization","Authentication","",""
"","1568","Check displaying of empty courses list","LMS system","Sun May 03 20:56:15 UTC 2026","passed","Sun May 03 20:56:17 UTC 2026","Courses","Courses","",""
"","1573","Navigation from login page to registration page","LMS system","Sun May 03 20:56:13 UTC 2026","passed","Sun May 03 20:56:15 UTC 2026","Authorization","Authentication","",""
"","1905","User login with wrong email or password","LMS system","Sun May 03 20:56:07 UTC 2026","passed","Sun May 03 20:56:09 UTC 2026","Authorization","Authentication","",""
"","1959","User login with wrong email or password","LMS system","Sun May 03 20:56:07 UTC 2026","passed","Sun May 03 20:56:09 UTC 2026","Authorization","Authentication","",""
"","1703","User login with wrong email or password","LMS system","Sun May 03 20:56:10 UTC 2026","passed","Sun May 03 20:56:11 UTC 2026","Authorization","Authentication","",""
