"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1606","Check displaying of dashboard page","LMS system","Sun May 03 21:20:18 UTC 2026","passed","Sun May 03 21:20:19 UTC 2026","Dashboard","Dashboard","",""
"","1833","User login with wrong email or password","LMS system","Sun May 03 21:20:07 UTC 2026","passed","Sun May 03 21:20:09 UTC 2026","Authorization","Authentication","",""
"","2086","Create course","LMS system","Sun May 03 21:20:15 UTC 2026","passed","Sun May 03 21:20:17 UTC 2026","Courses","Courses","",""
"","1428","User login with wrong email or password","LMS system","Sun May 03 21:20:09 UTC 2026","passed","Sun May 03 21:20:10 UTC 2026","Authorization","Authentication","",""
"","1441","Navigation from login page to registration page","LMS system","Sun May 03 21:20:11 UTC 2026","passed","Sun May 03 21:20:12 UTC 2026","Authorization","Authentication","",""
"","1809","User login with wrong email or password","LMS system","Sun May 03 21:20:07 UTC 2026","passed","Sun May 03 21:20:09 UTC 2026","Authorization","Authentication","",""
"","1378","Check displaying of empty courses list","LMS system","Sun May 03 21:20:14 UTC 2026","passed","Sun May 03 21:20:15 UTC 2026","Courses","Courses","",""
"","2678","User login with correct email and password","LMS system","Sun May 03 21:20:09 UTC 2026","passed","Sun May 03 21:20:12 UTC 2026","Authorization","Authentication","",""
"","1546","Registration with correct email, username and password","LMS system","Sun May 03 21:20:12 UTC 2026","passed","Sun May 03 21:20:13 UTC 2026","Registration","Authentication","",""
"","2867","Edit course","LMS system","Sun May 03 21:20:15 UTC 2026","passed","Sun May 03 21:20:18 UTC 2026","Courses","Courses","",""
